,file_name,total_lines,covered_lines,uncovered_lines
472,creator-dashboard-page.constants.ts,1,1,0
473,create-activity-modal.controller.ts,16,16,0
474,upload-activity-modal.controller.ts,12,12,0
475,suggestion-modal-for-creator-view.controller.ts,40,40,0
476,suggestion-modal-for-creator-view.service.ts,35,35,0
477,delete-account-page.component.ts,13,13,0
478,delete-account-modal.controller.ts,10,10,0
479,donate-page.component.ts,17,17,0
480,email-dashboard-data.service.ts,39,36,3
481,email-dashboard-page.component.ts,52,52,0
482,email-dashboard-result.component.ts,70,70,0
483,error-page.component.ts,8,8,0
484,exploration-editor-page.component.ts,245,245,0
485,exploration-editor-page.constants.ajs.ts,17,17,0
486,exploration-editor-page.constants.ts,1,1,0
487,changes-in-human-readable-form.component.ts,1,1,0
488,editor-navbar-breadcrumb.component.ts,25,25,0
489,editor-navigation.component.ts,109,109,0
490,exploration-editor-tab.component.ts,157,157,0
491,exploration-graph.component.ts,32,32,0
492,state-graph-visualization.directive.ts,141,141,0
493,interaction-details-cache.service.ts,10,10,0
494,responses.service.ts,204,204,0
495,solution-validity.service.ts,12,12,0
496,solution-verification.service.ts,10,10,0
497,state-name-editor.component.ts,57,57,0
498,state-param-changes-editor.component.ts,4,4,0
499,add-answer-group-modal.controller.ts,41,41,0
500,add-hint-modal.controller.ts,14,14,0
501,add-or-update-solution-modal.controller.ts,34,34,0
502,confirm-delete-state-modal.controller.ts,4,4,0
503,customize-interaction-modal.controller.ts,151,151,0
504,exploration-graph-modal.controller.ts,12,12,0
505,teach-oppia-modal.controller.ts,62,62,0
506,test-interaction-panel.component.ts,18,18,0
507,training-data-editor-panel-modal.controller.ts,63,63,0
508,training-data-editor-panel.service.ts,23,23,0
509,training-data.service.ts,72,72,0
510,training-modal.controller.ts,61,61,0
511,training-modal.service.ts,23,23,0
512,training-panel.component.ts,36,36,0
513,unresolved-answers-overview.component.ts,39,39,0
514,exploration-objective-editor.component.ts,3,3,0
515,exploration-save-and-publish-buttons.component.ts,73,73,0
516,exploration-title-editor.component.ts,9,9,0
517,feedback-tab.component.ts,101,101,0
518,thread-data-backend-api.service.ts,82,82,0
519,thread-status-display.service.ts,13,13,0
520,create-feedback-thread-modal.controller.ts,14,14,0
521,thread-table.component.ts,10,10,0
522,history-tab.component.ts,128,128,0
523,revert-exploration-modal.controller.ts,7,7,0
524,compare-versions.service.ts,33,33,0
525,version-tree.service.ts,47,43,4
526,improvements-tab.component.ts,49,49,0
527,needs-guiding-responses-task.component.ts,7,7,0
528,improvement-modal.service.ts,15,15,0
529,editor-reloading-modal.controller.ts,5,5,0
530,exploration-metadata-modal.controller.ts,66,66,0
531,exploration-save-modal.controller.ts,11,11,0
532,help-modal.controller.ts,15,15,0
533,lost-changes-modal.controller.ts,6,6,0
534,post-publish-modal.controller.ts,20,20,0
535,save-validation-fail-modal.controller.ts,8,8,0
536,save-version-mismatch-modal.controller.ts,14,14,0
537,state-diff-modal.controller.ts,21,21,0
538,welcome-modal.controller.ts,9,9,0
539,param-changes-editor.component.ts,113,113,0
540,value-generator-editor.directive.ts,12,12,0
541,preview-tab.component.ts,76,76,0
542,preview-set-parameters-modal.controller.ts,4,4,0
543,angular-name.service.ts,4,4,0
544,autosave-info-modals.service.ts,25,25,0
545,change-list.service.ts,67,53,14
546,editor-first-time-events.service.ts,32,32,0
547,exploration-automatic-text-to-speech.service.ts,12,12,0
548,exploration-category.service.ts,11,11,0
549,exploration-correctness-feedback.service.ts,12,12,0
550,exploration-data-backend-api.service.ts,5,5,0
551,exploration-data.service.ts,67,67,0
552,exploration-diff.service.ts,100,98,2
553,exploration-init-state-name.service.ts,5,5,0
554,exploration-language-code.service.ts,14,14,0
555,exploration-objective.service.ts,11,11,0
556,exploration-param-changes.service.ts,5,5,0
557,exploration-param-specs.service.ts,5,5,0
558,exploration-property.service.ts,35,35,0
559,exploration-rights.service.ts,62,62,0
560,exploration-save.service.ts,160,40,120
561,exploration-states.service.ts,221,193,28
562,exploration-tags.service.ts,15,15,0
563,exploration-title.service.ts,11,11,0
564,exploration-warnings.service.ts,137,137,0
565,graph-data.service.ts,14,14,0
566,parameter-metadata.service.ts,91,91,0
567,populate-rule-content-ids.service.ts,15,15,0
568,router.service.ts,118,118,0
569,state-editor-refresh.service.ts,4,4,0
570,state-tutorial-first-time.service.ts,40,40,0
571,tutorial-events-backend-api.service.ts,6,6,0
572,user-email-preferences-backend-api.service.ts,7,7,0
573,user-email-preferences.service.ts,17,17,0
574,user-exploration-permissions.service.ts,14,14,0
575,settings-tab.component.ts,253,253,0
576,moderator-unpublish-exploration-modal.controller.ts,7,7,0
577,preview-summary-tile-modal.controller.ts,24,24,0
578,reassign-role-confirmation-modal.controller.ts,6,6,0
579,remove-role-confirmation-modal.controller.ts,5,5,0
580,statistics-tab.component.ts,51,51,0
581,pie-chart.component.ts,23,23,0
582,answer-submit-action.component.ts,14,14,0
583,cyclic-transitions-issue.component.ts,25,25,0
584,early-quit-issue.component.ts,26,26,0
585,multiple-incorrect-issue.component.ts,26,26,0
586,multiple-incorrect-submissions-issue.component.ts,29,29,0
587,playthrough-issues.component.ts,28,28,0
588,learner-action-render.service.ts,43,43,0
589,state-stats-modal.controller.ts,25,25,0
590,exploration-editor-suggestion-modal.controller.ts,29,29,0
591,suggestion-modal-for-exploration-editor.service.ts,43,13,30
592,translation-tab.component.ts,78,78,0
593,audio-translation-bar.directive.ts,290,290,0
594,add-audio-translation-modal.controller.ts,35,35,0
595,translation-tab-busy-modal.controller.ts,4,4,0
596,welcome-translation-modal.controller.ts,9,9,0
597,translation-language.service.ts,18,18,0
598,translation-status.service.ts,167,167,0
599,translation-tab-active-content-id.service.ts,15,15,0
600,translation-tab-active-mode.service.ts,7,7,0
601,voiceover-recording.service.ts,76,50,26
602,state-translation.component.ts,280,280,0
603,state-translation-editor.component.ts,78,78,0
604,state-translation-status-graph.component.ts,28,28,0
605,translator-overview.component.ts,60,60,0
606,exploration-player-page.component.ts,21,21,0
607,exploration-player-page.constants.ajs.ts,17,17,0
608,exploration-player-page.constants.ts,1,1,0
609,switch-content-language-refresh-required-modal.component.ts,10,10,0
610,audio-bar.directive.ts,135,12,123
611,content-language-selector.component.ts,21,21,0
612,correctness-footer.directive.ts,2,1,1
613,exploration-footer.directive.ts,32,7,25
614,feedback-popup.directive.ts,61,8,53
615,learner-local-nav.directive.ts,41,12,29
616,learner-view-info.directive.ts,54,14,40
617,progress-nav.directive.ts,65,11,54
618,continue-button.directive.ts,2,1,1
619,conversation-skin.directive.ts,608,63,545
620,input-response-pair.directive.ts,37,10,27
621,learner-answer-info-card.directive.ts,17,5,12
622,supplemental-card.directive.ts,55,10,45
623,tutor-card.directive.ts,112,25,87
624,answer-classification.service.ts,45,43,2
